word,classification
f***,swearing
ok,slang
pvp,slang
lol,slang
omg,slang
wtf,swearing
btw,slang
that's,correct_spelling
unenchanted,correct_spelling
haha,slang
thx,slang
wifi,correct_spelling
xxx,slang
hahaha,slang
javascript,correct_spelling
teleported,correct_spelling
teleporting,correct_spelling
i'm,correct_spelling
isn't,correct_spelling
monday,correct_spelling
tuesday,correct_spelling
wednesday,correct_spelling
thursday,correct_spelling
friday,correct_spelling
saturday,correct_spelling
sunday,correct_spelling
didn't,correct_spelling
don't,correct_spelling
aah,correct_spelling
aardvark,correct_spelling
aardvarks,correct_spelling
abacus,correct_spelling
abacuses,correct_spelling
abalone,correct_spelling
abalones,correct_spelling
abandon,correct_spelling
abandoned,correct_spelling
abandoning,correct_spelling
abandonment,correct_spelling
abandons,correct_spelling
abase,correct_spelling
abased,correct_spelling
abasement,correct_spelling
abases,correct_spelling
abashed,correct_spelling
abasing,correct_spelling
abate,correct_spelling
abated,correct_spelling
abatement,correct_spelling
abates,correct_spelling
abating,correct_spelling
abattoir,correct_spelling
abattoirs,correct_spelling
abbess,correct_spelling
abbesses,correct_spelling
abbey,correct_spelling
abbeys,correct_spelling
abbot,correct_spelling
abbots,correct_spelling
abbreviate,correct_spelling
abbreviated,correct_spelling
abbreviates,correct_spelling
abbreviating,correct_spelling
abbreviation,correct_spelling
abbreviations,correct_spelling
abdicate,correct_spelling
abdicated,correct_spelling
abdicates,correct_spelling
abdicating,correct_spelling
abdication,correct_spelling
abdications,correct_spelling
abdomen,correct_spelling
abdomens,correct_spelling
abdominal,correct_spelling
abduct,correct_spelling
abducted,correct_spelling
abducting,correct_spelling
abduction,correct_spelling
abductions,correct_spelling
abductor,correct_spelling
abductors,correct_spelling
abducts,correct_spelling
abed,correct_spelling
aberrant,correct_spelling
aberration,correct_spelling
aberrations,correct_spelling
abet,correct_spelling
abets,correct_spelling
abetted,correct_spelling
abetting,correct_spelling
abhor,correct_spelling
abhorred,correct_spelling
abhorrence,correct_spelling
abhorrent,correct_spelling
abhorring,correct_spelling
abhors,correct_spelling
abide,correct_spelling
abided,correct_spelling
abides,correct_spelling
abiding,correct_spelling
abilities,correct_spelling
ability,correct_spelling
abject,correct_spelling
abjectly,correct_spelling
abjure,correct_spelling
abjured,correct_spelling
abjures,correct_spelling
abjuring,correct_spelling
ablaze,correct_spelling
able,correct_spelling
abler,correct_spelling
ablest,correct_spelling
ablutions,correct_spelling
ably,correct_spelling
abnegation,correct_spelling
abnormal,correct_spelling
abnormalities,correct_spelling
abnormality,correct_spelling
abnormally,correct_spelling
aboard,correct_spelling
abode,correct_spelling
abodes,correct_spelling
abolish,correct_spelling
abolished,correct_spelling
abolishes,correct_spelling
abolishing,correct_spelling
abolition,correct_spelling
abolitionist,correct_spelling
abolitionists,correct_spelling
abominable,correct_spelling
abominably,correct_spelling
abominate,correct_spelling
abominated,correct_spelling
abominates,correct_spelling
abominating,correct_spelling
abomination,correct_spelling
abominations,correct_spelling
aboriginal,correct_spelling
aboriginals,correct_spelling
aborigine,correct_spelling
aborigines,correct_spelling
abort,correct_spelling
aborted,correct_spelling
aborting,correct_spelling
abortion,correct_spelling
abortionist,correct_spelling
abortionists,correct_spelling
abortions,correct_spelling
abortive,correct_spelling
aborts,correct_spelling
abound,correct_spelling
abounded,correct_spelling
abounding,correct_spelling
abounds,correct_spelling
about,correct_spelling
above,correct_spelling
aboveboard,correct_spelling
abracadabra,correct_spelling
abrade,correct_spelling
abraded,correct_spelling
abrades,correct_spelling
abrading,correct_spelling
abrasion,correct_spelling
abrasions,correct_spelling
abrasive,correct_spelling
abrasively,correct_spelling
abrasiveness,correct_spelling
abrasives,correct_spelling
abreast,correct_spelling
abridge,correct_spelling
abridged,correct_spelling
abridgement,correct_spelling
abridgements,correct_spelling
abridges,correct_spelling
abridging,correct_spelling
abridgment,correct_spelling
abridgments,correct_spelling
abroad,correct_spelling
abrogate,correct_spelling
abrogated,correct_spelling
abrogates,correct_spelling
abrogating,correct_spelling
abrogation,correct_spelling
abrupt,correct_spelling
abruptly,correct_spelling
abruptness,correct_spelling
abscess,correct_spelling
abscesses,correct_spelling
abscond,correct_spelling
absconded,correct_spelling
absconding,correct_spelling
absconds,correct_spelling
abseil,correct_spelling
abseiled,correct_spelling
abseiling,correct_spelling
abseils,correct_spelling
absence,correct_spelling
absences,correct_spelling
absent,correct_spelling
absented,correct_spelling
absentee,correct_spelling
absenteeism,correct_spelling
absentees,correct_spelling
absenting,correct_spelling
absently,correct_spelling
absents,correct_spelling
absinth,correct_spelling
absinthe,correct_spelling
absolute,correct_spelling
absolutely,correct_spelling
absolutes,correct_spelling
absolution,correct_spelling
absolutism,correct_spelling
absolutist,correct_spelling
absolutists,correct_spelling
absolve,correct_spelling
absolved,correct_spelling
absolves,correct_spelling
absolving,correct_spelling
absorb,correct_spelling
absorbed,correct_spelling
absorbency,correct_spelling
absorbent,correct_spelling
absorbing,correct_spelling
absorbs,correct_spelling
absorption,correct_spelling
abstain,correct_spelling
abstained,correct_spelling
abstainer,correct_spelling
abstainers,correct_spelling
abstaining,correct_spelling
abstains,correct_spelling
abstemious,correct_spelling
abstention,correct_spelling
abstentions,correct_spelling
abstinence,correct_spelling
abstinent,correct_spelling
abstract,correct_spelling
abstracted,correct_spelling
abstractedly,correct_spelling
abstracting,correct_spelling
abstraction,correct_spelling
abstractions,correct_spelling
abstracts,correct_spelling
abstruse,correct_spelling
absurd,correct_spelling
absurdities,correct_spelling
absurdity,correct_spelling
absurdly,correct_spelling
abundance,correct_spelling
abundant,correct_spelling
abundantly,correct_spelling
abuse,correct_spelling
abused,correct_spelling
abuser,correct_spelling
abusers,correct_spelling
abuses,correct_spelling
abusing,correct_spelling
abusive,correct_spelling
abusively,correct_spelling
abut,correct_spelling
abuts,correct_spelling
abutted,correct_spelling
abutting,correct_spelling
abuzz,correct_spelling
abysmal,correct_spelling
abysmally,correct_spelling
abyss,correct_spelling
abysses,correct_spelling
acacia,correct_spelling
acacias,correct_spelling
academe,correct_spelling
academia,correct_spelling
academic,correct_spelling
academically,correct_spelling
academician,correct_spelling
academicians,correct_spelling
academics,correct_spelling
academies,correct_spelling
academy,correct_spelling
accede,correct_spelling
acceded,correct_spelling
accedes,correct_spelling
acceding,correct_spelling
accelerate,correct_spelling
accelerated,correct_spelling
accelerates,correct_spelling
accelerating,correct_spelling
acceleration,correct_spelling
accelerator,correct_spelling
accelerators,correct_spelling
accent,correct_spelling
accented,correct_spelling
accenting,correct_spelling
accents,correct_spelling
accentuate,correct_spelling
accentuated,correct_spelling
accentuates,correct_spelling
accentuating,correct_spelling
accentuation,correct_spelling
accept,correct_spelling
acceptability,correct_spelling
acceptable,correct_spelling
acceptably,correct_spelling
acceptance,correct_spelling
acceptances,correct_spelling
accepted,correct_spelling
accepting,correct_spelling
accepts,correct_spelling
access,correct_spelling
accessed,correct_spelling
accesses,correct_spelling
accessibility,correct_spelling
accessible,correct_spelling
accessing,correct_spelling
accession,correct_spelling
accessions,correct_spelling
accessories,correct_spelling
accessorise,correct_spelling
accessorised,correct_spelling
accessorises,correct_spelling
accessorising,correct_spelling
accessorize,correct_spelling
accessorized,correct_spelling
accessorizes,correct_spelling
accessorizing,correct_spelling
accessory,correct_spelling
accident,correct_spelling
accidental,correct_spelling
accidentally,correct_spelling
accidents,correct_spelling
acclaim,correct_spelling
acclaimed,correct_spelling
acclaiming,correct_spelling
acclaims,correct_spelling
acclamation,correct_spelling
acclimate,correct_spelling
acclimated,correct_spelling
acclimates,correct_spelling
acclimating,correct_spelling
acclimatisation,correct_spelling
acclimatise,correct_spelling
acclimatised,correct_spelling
acclimatises,correct_spelling
acclimatising,correct_spelling
acclimatization,correct_spelling
acclimatize,correct_spelling
acclimatized,correct_spelling
acclimatizes,correct_spelling
acclimatizing,correct_spelling
accolade,correct_spelling
accolades,correct_spelling
accommodate,correct_spelling
accommodated,correct_spelling
accommodates,correct_spelling
accommodating,correct_spelling
accommodation,correct_spelling
accommodations,correct_spelling
accompanied,correct_spelling
accompanies,correct_spelling
accompaniment,correct_spelling
accompaniments,correct_spelling
accompanist,correct_spelling
accompanists,correct_spelling
accompany,correct_spelling
accompanying,correct_spelling
accomplice,correct_spelling
accomplices,correct_spelling
accomplish,correct_spelling
accomplished,correct_spelling
accomplishes,correct_spelling
accomplishing,correct_spelling
accomplishment,correct_spelling
accomplishments,correct_spelling
accord,correct_spelling
accorded,correct_spelling
according,correct_spelling
accordingly,correct_spelling
accordion,correct_spelling
accordions,correct_spelling
accords,correct_spelling
accost,correct_spelling
accosted,correct_spelling
accosting,correct_spelling
accosts,correct_spelling
